ุ่๔๐,ฬ_1,ฬ_2,ฬ_3,ฬ_4,ฬ_5,ฬ_6,ฬ_7,ฬ_ศาฮร,ภ_1,ภ_2,ภ_ศาฮร,ะ_1,ะ_2,ะ_3,ะ_4,ะ_5,ะ_ศาฮร
ฤ0001,2,2,0,1,3,3,0,11,7,3,10,3,1,2,2,1,9
ฤ0002,2,2,0,1,1,3,0,9,7,3,10,1,1,2,2,1,7
ฤ0003,2,2,0,1,3,0,0,8,5,2,7,0,0,2,2,1,5
ฤ0004,2,2,0,1,0,0,0,5,4,1,5,2,0,2,2,1,7
ฤ0005,2,0,0,0.5,1,3,0,6.5,7,0,7,2,0,2,2,1,7
ฤ0006,0,0,0,0,0,0,0,0,4,0,4,0,0,1,2,1,4
ฤ0008,0,0,0,0.5,0,0,0,0.5,5,1,6,0,0,2,2,1,5
ฤ0009,0,0,0,1,0,0,0,1,4,2,6,0,0,1,2,1,4
ฤ0010,0,0,0,1,0,0,0,1,6,2,8,1,1,1,2,1,6
ฤ0011,0,0,0,0,0,0,0,0,4,0,4,0,0,1,1,1,3
ฤ0012,0,0,0,0,0,0,0,0,7,3,10,2,1,2,2,1,8
ฤ0013,2,0,0,0,0,2,0,4,4,3,7,1,0,1,1,1,4
ฤ0014,2,0,0,0,0,0,0,2,3,0,3,1,0,1,1,1,4
ฤ0015,2,2,0,1,0,0,0,5,5,1,6,0,0,1,1,1,3
ฤ0016,2,0,0,0.5,0,3,0,5.5,5,0,5,3,1,2,2,1,9
ฤ0017,2,0,0,1,0,0,0,3,5,0,5,2,1,2,2,1,8
ฤ0018,0.5,0,0,1,0,0,0,1.5,4,1,5,3,2,2,1,0,8
ฤ0021,2,0,2,1,0,0,0,5,5,0,5,1,1,1,1,1,5
ฤ0026,0,0,0,0.5,0,0,0,0.5,4,0,4,1,1,0,1,1,4
ฤ0028,0,0,0,0,0,0,0,0,3,0,3,0,0,1,1,1,3
ฤ0029,0,0,0,0.5,0,0,0,0.5,2,0,2,2,0,2,0,0,4
ฤ0030,2,2,2,0.5,1,1,0,8.5,5,1,6,1,1,1,2,1,6
ฤ0034,2,2,0,0.5,0,3,0,7.5,6,1,7,1,1,2,2,2,8
ฤ0035,0.5,0,0,1,0,1,0,2.5,5,3,8,1,1,0,0,0,2
ฤ0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ฤ0037,0,0,2,0.5,0,0,0,2.5,6,0,6,2,0,0,0,0,2
ฤ0038,0,0,0,0.5,0,0,0,0.5,3,1,4,0,0,1,2,1,4
ฤ0039,2,2,2,1,3,0,0,10,6,3,9,0,0,2,2,1,5
ฤ0043,1,2,0,0.5,0,0,0,3.5,5,0,5,0,0,2,2,1,5
ฤ0045,0,0,0,0.5,0,0,0,0.5,3,0,3,0,0,1,1,1,3
ฤ0046,0,0,0,0.5,0,0,0,0.5,5,2,7,0,0,1,1,0,2
ฤ0047,0,0,0,1,0,0,0,1,4,0,4,1,0,0,0,0,1
ฤ0048,2,0,0,0.5,0,2,0,4.5,6,2,8,1,0,1,2,1,5
ฤ0049,0,0,0,0,0,0,0,0,4,1,5,0,1,2,1,1,5
ฤ0050,0,0,0,1,0,1,0,2,4,0,4,0,0,2,2,1,5
ฤ0051,1,0,0,0.5,0,3,0,4.5,2,0,2,0,0,0,1,1,2
ฤ0052,0,0,0,0.5,0,1,0,1.5,7,3,10,3,2,0,0,0,5
ฤ0054,0,0,0,1,0,0,0,1,6,1,7,0,0,1,2,1,4
ฤ0055,0,0,0,0,0,0,0,0,3,0,3,0,1,1,2,0,4
ฤ0056,0,0,0,0.5,0,0,0,0.5,4,1,5,0,0,2,1,0,3
ฤ0060,0,0,0,0.5,0,0,0,0.5,4,0,4,0,0,1,2,1,4
ฤ0061,0,0,0,0,0,0,0,0,3,0,3,0,0,2,0,0,2
ฤ0063,0,2,0,0.5,0,2,0,4.5,4,0,4,2,0,2,2,1,7
ฤ0064,0,0,0,0.5,0,0,0,0.5,5,0,5,0,0,2,0,0,2
ฤ0065,2,2,0,1,3,3,0,11,6,3,9,3,2,2,2,1,10
ฤ0068,0,0,0,1,0,0,0,1,2,0,2,0,0,1,0,0,1
ฤ0069,2,2,0,0,0,3,0,7,7,1,8,1,0,2,2,1,6
ฤ0070,0,0,0,1,0,0,0,1,6,2,8,1,2,2,2,1,8
ฤ0072,0,0,0,0,0,3,0,3,6,1,7,3,1,2,2,1,9
ฤ0073,2,2,0,0,0,3,0,7,7,2,9,2,1,2,2,1,8
ฤ0078,0,0,0,0,0,0,0,0,6,2,8,1,0,1,2,1,5
ฤ0081,2,2,0,1,0,3,0,8,5,1,6,1,0,2,2,0,5
ฤ0082,2,2,0,0.5,0,0,0,4.5,5,0,5,1,0,1,2,1,5
ฤ0083,0,0,0,0,0,0,0,0,2,0,2,0,0,1,2,0,3
ฤ0084,0,0,0,0.5,3,0,0,3.5,6,1,7,1,0,2,2,1,6
ฤ0087,0,0,0,1,0,0,0,1,2,0,2,0,0,2,1,0,3
ฤ0089,0,2,0,0.5,1,1,1,5.5,6,2,8,2,0,1,2,1,6
ฤ0091,0,0,0,1,0,3,0,4,5,1,6,0,0,0,1,1,2
ฤ0094,0,0,0,0.5,0,3,0,3.5,4,1,5,0,0,1,1,1,3
ฤ0095,0,0,0,1,0,0,0,1,3,0,3,0,0,0,1,1,2
ฤ0096,0,0,2,0.5,0,0,0,2.5,5,2,7,0,0,1,1,1,3
ฤ0097,0,0,1,0,0,1,0,2,6,2,8,0,0,1,1,1,3
ฤ0098,2,0,0,0.5,1,0,0,3.5,5,2,7,1,0,1,1,1,4
ฤ0099,0,0,2,0,1,0,0,3,6,2,8,0,0,1,1,1,3
ฤ0100,0,0,0,0,0,0,0,0,4,0,4,0,0,1,0,0,1
ฤ0101,0,0,0,0.5,0,0,0,0.5,5,0,5,0,0,0,0,1,1
ฤ0102,0,0,0,0,0,0,0,0,5,3,8,1,0,1,1,1,4
ฤ0105,2,2,2,1,3,3,0,13,5,1,6,1,1,1,1,1,5
ฤ0107,1,2,2,0.5,2.5,3,0,11,4,0,4,0,0,1,2,1,4
ฤ0108,0.5,0,0,1,0,0,0,1.5,5,2,7,2,1,1,2,1,7
ฤ0109,0,0,0,1,0,0,0,1,3,0,3,0,0,1,1,1,3
ฤ0110,0,0,0,1,0,0,0,1,6,1,7,0,1,2,2,1,6
ฤ0113,0,0,0,1,0.5,0,0,1.5,5,1,6,0,0,2,2,1,5
ฤ0117,0,0,0,0,0,0,0,0,4,0,4,0,0,0,1,1,2
ฤ0119,0,0,0,0.5,0,0,0,0.5,6,3,9,1,1,0,0,0,2
ฤ0120,0,1.5,0,1,0,0,0,2.5,2,0,2,1,0,0,2,1,4
ฤ0121,0,1,0,0.5,0,0,0,1.5,3,0,3,0,0,1,2,1,4
ฤ0122,0,0,0,1,0,1,0,2,2,0,2,1,0,1,2,1,5
ฤ0124,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
ฤ0125,2,1,0,1,0,0,0,4,5,3,8,2,1,2,2,1,8
